"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021- 07- 14","4,367.75","4,359.50","4,384.50","4,350.00","1.31M","0.15%"
"2021- 07- 13","4,361.25","4,377.00","4,383.75","4,356.50","1.25M","-0.35%"
"2021- 07- 12","4,376.50","4,362.00","4,379.25","4,341.75","1.06M","0.38%"
"2021- 07- 09","4,360.00","4,310.25","4,364.00","4,293.25","1.31M","1.09%"
"2021- 07- 08","4,313.00","4,352.25","4,352.25","4,279.25","1.99M","-0.84%"
"2021- 07- 07","4,349.75","4,328.00","4,353.25","4,320.25","1.22M","0.36%"
"2021- 07- 06","4,334.00","4,341.00","4,348.00","4,305.25","1.37M","-0.28%"
"2021- 07- 05","4,346.38","4,339.38","4,347.38","4,333.12","","0.17%"
"2021- 07- 04","4,339.12","4,338.75","4,342.62","4,338.25","","-0.08%"
"2021- 07- 02","4,342.75","4,309.75","4,347.00","4,308.00","999.78K","0.74%"
